CITY 4TH GENERATION SV MT  |  RS. 915000  |  65000  KM  ,PRICE,KM,MFG YEAR,VEHICLE COLOR,FUEL TYPE,VEHICLE TYPE
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1579000  |  28000  KM  ,1359000,43000,2018,WHITE,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1146000  |  63000  KM  ,1579000,28000,2020,SUNSET RED,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1470000  |  33000  KM  ,1146000,63000,2015,CARBON STEEL,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1126000  |  60000  KM  ,1470000,33000,2019,TOFFEE BROWN,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1286000  |  52000  KM  ,1126000,60000,2014,REFLEX SILVER,PETROL,AMT
T-ROC TSI  |  RS. 1856000  |  62000  KM  ,1286000,52000,2017,CANDY WHITE,PETROL,AMT
T-ROC TSI  |  RS. 1777000  |  68000  KM  ,1856000,62000,2015,INDIUM GREY METALLIC,PETROL,AMT
T-ROC TSI  |  RS. 2336000  |  44000  KM  ,1777000,68000,2013,CURCUMA YELLOW,PETROL,AMT
T-ROC TSI  |  RS. 1537000  |  72000  KM  ,2336000,44000,2019,RAVENNA BLUE,PETROL,AMT
T-ROC TSI  |  RS. 1975000  |  53000  KM  ,1537000,72000,2010,ENERGETIC ORANGE,PETROL,AMT
T-ROC TSI  |  RS. 2026000  |  50000  KM  ,1975000,53000,2016,DEEP BLACK,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 2549000  |  79000  KM  ,2026000,50000,2017,PURE WHITE,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 2646000  |  70000  KM  ,2549000,79000,2010,RUBY RED METALLIC,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3686000  |  42000  KM  ,2646000,70000,2013,PYRIT SILVER,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3126000  |  65000  KM  ,3686000,42000,2019,DEEP BLACK PEARL,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3846000  |  33000  KM  ,3126000,65000,2015,PLATINUM GREY METALLIC,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3651000  |  54000  KM  ,3846000,33000,2020,PETROLEUM BLUE,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 2576000  |  76000  KM  ,3651000,54000,2018,HABANERO ORANGE,PETROL,AMT
POLO 1.0 MPL TRENDLINE  |  RS. 371000  |  67000  KM  ,2576000,76000,2011,PURE WHITE,PETROL,AMT
POLO 1.0 MPL TRENDLINE  |  RS. 341000  |  74000  KM  ,371000,67000,2013,LAPIZ BLUE,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 357000  |  74000  KM  ,341000,74000,2011,CARBON STEEL,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 577000  |  37000  KM  ,357000,74000,2016,SUNSET RED,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 342000  |  77000  KM  ,577000,37000,2020,TOFFEE BROWN,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 352000  |  70000  KM  ,342000,77000,2012,FLASH RED,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 547000  |  54000  KM  ,352000,70000,2015,REFLEX SILVER,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 327000  |  84000  KM  ,547000,54000,2019,CANDY WHITE,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 506000  |  71000  KM  ,327000,84000,2010,RED/WHITE,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 557000  |  62000  KM  ,506000,71000,2012,LAPIZ BLUE,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 717000  |  34000  KM  ,557000,62000,2015,CARBON STEEL,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 577000  |  57000  KM  ,717000,34000,2020,SUNSET RED,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 582000  |  54000  KM  ,577000,57000,2017,TOFFEE BROWN,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 662000  |  50000  KM  ,582000,54000,2018,FLASH RED,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 542000  |  67000  KM  ,662000,50000,2019,REFLEX SILVER,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 516000  |  70000  KM  ,542000,67000,2014,CANDY WHITE,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 777000  |  43000  KM  ,516000,70000,2013,RED/WHITE,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 679000  |  64000  KM  ,777000,43000,2017,LAPIZ BLUE,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 806000  |  40000  KM  ,679000,64000,2015,CARBON STEEL,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 847000  |  34000  KM  ,806000,40000,2018,SUNSET RED,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 652000  |  73000  KM  ,847000,34000,2019,TOFFEE BROWN,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 767000  |  54000  KM  ,652000,73000,2011,FLASH RED,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 877000  |  29000  KM  ,767000,54000,2016,REFLEX SILVER,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 667000  |  67000  KM  ,877000,29000,2020,CANDY WHITE ,PETROL,MANUAL
POLO RED&WHITE EDITION  |  RS. 592000  |  80000  KM  ,667000,67000,2014,RED/WHITE,PETROL,MANUAL
POLO RED&WHITE EDITION  |  RS. 617000  |  77000  KM  ,592000,80000,2012,LAPIZ BLUE,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 747000  |  70000  KM  ,617000,77000,2013,CARBON STEEL,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 974000  |  47000  KM  ,747000,70000,2017,SUNSET RED,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 777000  |  67000  KM  ,974000,47000,2020,TOFFEE BROWN,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 642000  |  72000  KM  ,777000,67000,2015,FLASH RED,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 579000  |  84000  KM  ,642000,72000,2014,REFLEX SILVER,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 785000  |  54000  KM  ,579000,84000,2011,CANDY WHITE ,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 687000  |  70000  KM  ,785000,54000,2019,RED/WHITE,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 727000  |  58000  KM  ,687000,70000,2015,LAPIZ BLUE,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 787000  |  40000  KM  ,727000,58000,2018,CARBON STEEL,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 582000  |  78000  KM  ,787000,40000,2019,SUNSET RED,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 626000  |  71000  KM  ,582000,78000,2011,TOFFEE BROWN,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 977000  |  27000  KM  ,626000,71000,2013,FLASH RED,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 717000  |  73000  KM  ,977000,27000,2020,REFLEX SILVER,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 657000  |  76000  KM  ,717000,73000,2016,CANDY WHITE ,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 857000  |  65000  KM  ,657000,76000,2014,RED/WHITE,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 1027000  |  41000  KM  ,857000,65000,2015,LAPIZ BLUE,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 770000  |  74000  KM  ,1027000,41000,2019,CARBON STEEL,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 777000  |  69000  KM  ,770000,74000,2010,SUNSET RED,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 1047000  |  37000  KM  ,777000,69000,2013,TOFFEE BROWN,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 977000  |  44000  KM  ,1047000,37000,2020,FLASH RED,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 847000  |  56000  KM  ,977000,44000,2018,REFLEX SILVER,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 867000  |  53000  KM  ,847000,56000,2016,CANDY WHITE ,PETROL,AMT
VENTO 1.0 TSI TRENDLINE  |  RS. 647000  |  66000  KM  ,867000,53000,2017,RED/WHITE,PETROL,AMT
VENTO 1.0 TSI TRENDLINE  |  RS. 581000  |  74000  KM  ,647000,66000,2016,CARBON BLACK,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 957000  |  37000  KM  ,581000,74000,2014,LAPIZ BLUE,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 617000  |  70000  KM  ,957000,37000,2019,WHITE,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 547000  |  76000  KM  ,617000,70000,2015,SUNSET RED,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 977000  |  31000  KM  ,547000,76000,2013,CARBON STEEL,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 527000  |  84000  KM  ,977000,31000,2020,TOFFEE BROWN,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 687000  |  55000  KM  ,527000,84000,2012,REFLEX SILVER,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 827000  |  61000  KM  ,687000,55000,2017,CANDY WHITE,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 847000  |  54000  KM  ,827000,61000,2015,CARBON BLACK,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 767000  |  66000  KM  ,847000,54000,2016,LAPIZ BLUE,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 747000  |  71000  KM  ,767000,66000,2013,WHITE,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 1077000  |  26000  KM  ,747000,71000,2012,SUNSET RED,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 977000  |  47000  KM  ,1077000,26000,2020,CARBON STEEL,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 730000  |  74000  KM  ,977000,47000,2018,TOFFEE BROWN,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 1057000  |  29000  KM  ,730000,74000,2011,REFLEX SILVER,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 752000  |  76000  KM  ,1057000,29000,2019,CANDY WHITE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 982000  |  49000  KM  ,752000,76000,2012,CARBON BLACK,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 770000  |  70000  KM  ,982000,49000,2017,LAPIZ BLUE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 1070000  |  40000  KM  ,770000,70000,2013,WHITE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 1058000  |  44000  KM  ,1070000,40000,2020,SUNSET RED,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 837000  |  54000  KM  ,1058000,44000,2019,CARBON STEEL,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 787000  |  60000  KM  ,837000,54000,2015,TOFFEE BROWN,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 732000  |  78000  KM  ,787000,60000,2014,REFLEX SILVER,PETROL,MANUAL
VENTO RED&WHITE EDITION  |  RS. 962000  |  75000  KM  ,732000,78000,2011,CANDY WHITE,PETROL,MANUAL
VENTO RED&WHITE EDITION  |  RS. 857000  |  78000  KM  ,962000,75000,2015,CARBON BLACK,PETROL,AMT
VENTO RED&WHITE EDITION  |  RS. 1017000  |  64000  KM  ,857000,78000,2013,LAPIZ BLUE,PETROL,AMT
VENTO RED&WHITE EDITION  |  RS. 1247000  |  39000  KM  ,1017000,64000,2017,WHITE,PETROL,AMT
VENTO RED&WHITE EDITION  |  RS. 997000  |  71000  KM  ,1247000,39000,2020,SUNSET RED,PETROL,AMT
VENTO RED&WHITE EDITION  |  RS. 958000  |  73000  KM  ,997000,71000,2016,CARBON STEEL,PETROL,AMT
VENTO RED&WHITE EDITION  |  RS. 1147000  |  53000  KM  ,958000,73000,2014,TOFFEE BROWN,PETROL,AMT
VENTO RED&WHITE EDITION  |  RS. 1227000  |  44000  KM  ,1147000,53000,2018,REFLEX SILVER,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 926000  |  69000  KM  ,1227000,44000,2019,CANDY WHITE,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 1117000  |  43000  KM  ,926000,69000,2014,CARBON BLACK,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 877000  |  81000  KM  ,1117000,43000,2017,LAPIZ BLUE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 926000  |  69000  KM  ,877000,81000,2012,WHITE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 897000  |  77000  KM  ,926000,69000,2014,SUNSET RED,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 1397000  |  30000  KM  ,897000,77000,2013,CARBON STEEL,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 980000  |  54000  KM  ,1397000,30000,2020,TOFFEE BROWN,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE PLUS  |  RS. 1277000  |  32000  KM  ,980000,54000,2015,REFLEX SILVER,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE AT  |  RS. 827000  |  77000  KM  ,1277000,32000,2019,CANDY WHITE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE AT  |  RS. 899000  |  54000  KM  ,827000,77000,2010,CARBON BLACK,PETROL,AMT
VENTO 1.0 TSI HIGHLINE AT  |  RS. 1099000  |  50000  KM  ,899000,54000,2013,LAPIZ BLUE,PETROL,AMT
VENTO 1.0 TSI HIGHLINE AT  |  RS. 1157000  |  44000  KM  ,1099000,50000,2016,WHITE,PETROL,AMT
VENTO 1.0 TSI HIGHLINE AT  |  RS. 1397000  |  31000  KM  ,1157000,44000,2017,SUNSET RED,PETROL,AMT
VENTO 1.0 TSI HIGHLINE AT  |  RS. 887000  |  62000  KM  ,1397000,31000,2020,CARBON STEEL,PETROL,AMT
VENTO 1.0 TSI HIGHLINE AT  |  RS. 847000  |  71000  KM  ,887000,62000,2012,TOFFEE BROWN,PETROL,AMT
VENTO 1.0 TSI HIGHLINE AT  |  RS. 1277000  |  37000  KM  ,847000,71000,2011,REFLEX SILVER,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1167000  |  51000  KM  ,1277000,37000,2018,CANDY WHITE,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1077000  |  77000  KM  ,1167000,51000,2016,CARBON BLACK,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1580000  |  29000  KM  ,1077000,77000,2013,LAPIZ BLUE,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1360000  |  43000  KM  ,1580000,29000,2020,WHITE,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1471000  |  34000  KM  ,1360000,43000,2018,SUNSET RED,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1147000  |  64000  KM  ,1471000,34000,2019,CARBON STEEL,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1287000  |  53000  KM  ,1147000,64000,2015,TOFFEE BROWN,PETROL,AMT
VENTO 1.0 TSI HIGHLINE PLUS AT  |  RS. 1127000  |  61000  KM  ,1287000,53000,2017,REFLEX SILVER,PETROL,AMT
T-ROC TSI  |  RS. 1778000  |  69000  KM  ,1127000,61000,2014,CANDY WHITE,PETROL,AMT
T-ROC TSI  |  RS. 1857000  |  63000  KM  ,1778000,69000,2013,INDIUM GREY METALLIC,PETROL,AMT
T-ROC TSI  |  RS. 1538000  |  73000  KM  ,1857000,63000,2015,CURCUMA YELLOW,PETROL,AMT
T-ROC TSI  |  RS. 2337000  |  44000  KM  ,1538000,73000,2010,RAVENNA BLUE,PETROL,AMT
T-ROC TSI  |  RS. 2027000  |  51000  KM  ,2337000,44000,2019,ENERGETIC ORANGE,PETROL,AMT
T-ROC TSI  |  RS. 1976000  |  54000  KM  ,2027000,51000,2017,DEEP BLACK,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 2647000  |  71000  KM  ,1976000,54000,2016,PURE WHITE,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 2550000  |  80000  KM  ,2647000,71000,2013,RUBY RED METALLIC,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3687000  |  43000  KM  ,2550000,80000,2010,PYRIT SILVER,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 2577000  |  77000  KM  ,3687000,43000,2019,DEEP BLACK PEARL,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3847000  |  34000  KM  ,2577000,77000,2011,PLATINUM GREY METALLIC,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3127000  |  66000  KM  ,3847000,34000,2020,PETROLEUM BLUE,PETROL,AMT
TIGUAN ALLSPACE 4MOTION  |  RS. 3652000  |  55000  KM  ,3127000,66000,2015,HABANERO ORANGE,PETROL,AMT
POLO 1.0 MPL TRENDLINE  |  RS. 578000  |  38000  KM  ,3652000,55000,2018,PURE WHITE,PETROL,AMT
POLO 1.0 MPL TRENDLINE  |  RS. 358000  |  75000  KM  ,578000,38000,2020,LAPIZ BLUE,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 342000  |  76000  KM  ,358000,75000,2016,CARBON STEEL,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 372000  |  68000  KM  ,342000,76000,2011,SUNSET RED,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 343000  |  78000  KM  ,372000,68000,2013,TOFFEE BROWN,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 353000  |  71000  KM  ,343000,78000,2012,FLASH RED,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 548000  |  55000  KM  ,353000,71000,2015,REFLEX SILVER,PETROL,MANUAL
POLO 1.0 MPL TRENDLINE  |  RS. 328000  |  85000  KM  ,548000,55000,2019,CANDY WHITE,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 578000  |  58000  KM  ,328000,85000,2010,RED/WHITE,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 718000  |  35000  KM  ,578000,58000,2017,LAPIZ BLUE,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 558000  |  63000  KM  ,718000,35000,2020,CARBON STEEL,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 507000  |  72000  KM  ,558000,63000,2015,SUNSET RED,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 583000  |  55000  KM  ,507000,72000,2012,TOFFEE BROWN,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 663000  |  51000  KM  ,583000,55000,2018,FLASH RED,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 543000  |  68000  KM  ,663000,51000,2019,REFLEX SILVER,PETROL,MANUAL
 POLO 1.0 MPL COMFORTLINE PLUS  |  RS. 517000  |  71000  KM  ,543000,68000,2014,CANDY WHITE,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 848000  |  35000  KM  ,517000,71000,2013,RED/WHITE,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 807000  |  41000  KM  ,848000,35000,2019,LAPIZ BLUE,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 680000  |  65000  KM  ,807000,41000,2018,CARBON STEEL,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 778000  |  44000  KM  ,680000,65000,2015,SUNSET RED,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 653000  |  74000  KM  ,778000,44000,2017,TOFFEE BROWN,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 768000  |  55000  KM  ,653000,74000,2011,FLASH RED,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 878000  |  30000  KM  ,768000,55000,2016,REFLEX SILVER,PETROL,MANUAL
POLO 1.0 TSI HIGHLINE PLUS  |  RS. 668000  |  68000  KM  ,878000,30000,2020,CANDY WHITE ,PETROL,MANUAL
POLO RED&WHITE EDITION  |  RS. 975000  |  48000  KM  ,668000,68000,2014,RED/WHITE,PETROL,MANUAL
POLO RED&WHITE EDITION  |  RS. 748000  |  71000  KM  ,975000,48000,2020,LAPIZ BLUE,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 618000  |  78000  KM  ,748000,71000,2017,CARBON STEEL,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 593000  |  81000  KM  ,618000,78000,2013,SUNSET RED,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 778000  |  68000  KM  ,593000,81000,2012,TOFFEE BROWN,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 643000  |  73000  KM  ,778000,68000,2015,FLASH RED,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 580000  |  85000  KM  ,643000,73000,2014,REFLEX SILVER,PETROL,AMT
POLO RED&WHITE EDITION  |  RS. 786000  |  55000  KM  ,580000,85000,2011,CANDY WHITE ,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 583000  |  79000  KM  ,786000,55000,2019,RED/WHITE,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 788000  |  41000  KM  ,583000,79000,2011,LAPIZ BLUE,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 728000  |  59000  KM  ,788000,41000,2019,CARBON STEEL,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 688000  |  71000  KM  ,728000,59000,2018,SUNSET RED,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 627000  |  72000  KM  ,688000,71000,2015,TOFFEE BROWN,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 978000  |  28000  KM  ,627000,72000,2013,FLASH RED,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 718000  |  74000  KM  ,978000,28000,2020,REFLEX SILVER,PETROL,AMT
P0L0 1.0 TSI HIGHLINE PLUS AT  |  RS. 658000  |  77000  KM  ,718000,74000,2016,CANDY WHITE ,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 778000  |  70000  KM  ,658000,77000,2014,RED/WHITE,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 771000  |  75000  KM  ,778000,70000,2013,LAPIZ BLUE,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 1028000  |  42000  KM  ,771000,75000,2010,CARBON STEEL,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 858000  |  66000  KM  ,1028000,42000,2019,SUNSET RED,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 1048000  |  38000  KM  ,858000,66000,2015,TOFFEE BROWN,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 978000  |  45000  KM  ,1048000,38000,2020,FLASH RED,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 848000  |  57000  KM  ,978000,45000,2018,REFLEX SILVER,PETROL,AMT
POLO GT 1.0 TSI  |  RS. 868000  |  54000  KM  ,848000,57000,2016,CANDY WHITE ,PETROL,AMT
VENTO 1.0 TSI TRENDLINE  |  RS. 618000  |  71000  KM  ,868000,54000,2017,RED/WHITE,PETROL,AMT
VENTO 1.0 TSI TRENDLINE  |  RS. 958000  |  38000  KM  ,618000,71000,2015,CARBON BLACK,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 583000  |  75000  KM  ,958000,38000,2019,LAPIZ BLUE,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 648000  |  67000  KM  ,583000,75000,2014,WHITE,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 548000  |  77000  KM  ,648000,67000,2016,SUNSET RED,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 978000  |  32000  KM  ,548000,77000,2013,CARBON STEEL,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 528000  |  85000  KM  ,978000,32000,2020,TOFFEE BROWN,PETROL,MANUAL
VENTO 1.0 TSI TRENDLINE  |  RS. 688000  |  56000  KM  ,528000,85000,2012,REFLEX SILVER,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 748000  |  72000  KM  ,688000,56000,2017,CANDY WHITE,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 768000  |  67000  KM  ,748000,72000,2012,CARBON BLACK,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 848000  |  55000  KM  ,768000,67000,2013,LAPIZ BLUE,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 828000  |  62000  KM  ,848000,55000,2016,WHITE,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 1078000  |  27000  KM  ,828000,62000,2015,SUNSET RED,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 978000  |  48000  KM  ,1078000,27000,2020,CARBON STEEL,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 731000  |  75000  KM  ,978000,48000,2018,TOFFEE BROWN,PETROL,MANUAL
VENTO 1.0 TSI COMFORTLINE PLUS  |  RS. 1058000  |  30000  KM  ,731000,75000,2011,REFLEX SILVER,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 1071000  |  41000  KM  ,1058000,30000,2019,CANDY WHITE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 771000  |  71000  KM  ,1071000,41000,2020,CARBON BLACK,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 983000  |  50000  KM  ,771000,71000,2013,LAPIZ BLUE,PETROL,MANUAL
VENTO 1.0 TSI HIGHLINE  |  RS. 753000  |  77000  KM  ,983000,50000,2017,WHITE,PETROL,MANUAL
